Instance,N,OPT,AvgBestCost,AvgAvgCost,AvgError_best_pct,AvgError_avg_pct,AvgTime_ms,AvgBestFoundTime_ms
br17,17,39,41.00,41.48,5.13,5.13,60000.1,0.3
ft53,53,6905,11018.00,11022.07,59.57,59.62,120000.2,78542.1
ft70,70,38673,43225.00,43225.00,11.77,11.77,180000.3,95871.4
ftv33,34,1286,1710.00,1710.00,32.97,32.97,75000.1,28991.8
ftv35,36,1473,1613.00,1618.13,9.50,9.84,82000.1,35143.0
ftv38,39,1530,2000.00,2000.00,30.72,30.72,95000.1,62284.4
ftv44,45,1613,2071.00,2076.60,28.39,28.70,110000.1,72133.6
ftv47,48,1776,2644.00,2646.53,48.87,48.99,125000.1,81297.7
ftv55,56,1608,2315.00,2320.91,43.97,44.28,155000.2,101444.5
ftv64,65,1839,2739.00,2743.75,48.94,49.16,195000.2,146589.1
ftv70,71,1950,2995.00,3003.24,53.59,54.00,220000.2,178373.9
ftv170,171,2755,6652.00,6666.18,141.45,141.96,520000.5,421121.4
p43,43,5620,5671.00,5676.56,0.91,1.00,105000.1,55647.6
rbg323,323,1326,1693.00,1695.00,27.68,27.83,680000.7,548028.2
rbg358,358,1163,1580.00,1581.14,35.86,35.94,740000.8,659853.1
rbg403,403,2465,2743.00,2743.95,11.28,11.28,810000.9,713814.5
rbg443,443,2720,3038.00,3038.00,11.69,11.69,870001.0,798567.8
ry48p,48,14422,18767.00,18791.98,30.13,30.29,120000.1,85189.5
